id,name,kind,out_degree,in_degree
Compound::DB00266,Dicoumarol,Compound,7,3
Compound::DB00267,Cefmenoxime,Compound,13,13
Compound::DB00268,Ropinirole,Compound,36,0
Compound::DB00270,Isradipine,Compound,23,1
Compound::DB00271,Diatrizoate,Compound,2,0
Compound::DB00272,Betazole,Compound,5,0
Compound::DB00273,Topiramate,Compound,35,0
Compound::DB00274,Cefmetazole,Compound,16,1
Compound::DB00275,Olmesartan,Compound,13,1
Compound::DB00276,Amsacrine,Compound,6,0
Compound::DB00277,Theophylline,Compound,31,0
Compound::DB00278,Argatroban,Compound,3,0
Compound::DB00279,Liothyronine,Compound,26,0
Compound::DB00280,Disopyramide,Compound,19,5
Compound::DB00281,Lidocaine,Compound,35,1
Compound::DB00282,Pamidronate,Compound,8,2
Compound::DB00283,Clemastine,Compound,24,7
Compound::DB00284,Acarbose,Compound,21,1
Compound::DB00285,Venlafaxine,Compound,14,2
Compound::DB00286,Conjugated Estrogens,Compound,39,5
Compound::DB00287,Travoprost,Compound,4,3
Compound::DB00288,Amcinonide,Compound,54,6
Compound::DB00289,Atomoxetine,Compound,36,16
Compound::DB00290,Bleomycin,Compound,9,0
Compound::DB00291,Chlorambucil,Compound,52,1
Compound::DB00292,Etomidate,Compound,12,5
Compound::DB00293,Raltitrexed,Compound,11,6
Compound::DB00294,Etonogestrel,Compound,8,10
Compound::DB00295,Morphine,Compound,17,10
Compound::DB00296,Ropivacaine,Compound,58,4
Compound::DB00297,Bupivacaine,Compound,8,5
Compound::DB00298,Dapiprazole,Compound,3,1
Compound::DB00299,Penciclovir,Compound,10,5
Compound::DB00300,Tenofovir,Compound,44,4
Compound::DB00301,Flucloxacillin,Compound,16,10
Compound::DB00302,Tranexamic Acid,Compound,7,0
Compound::DB00303,Ertapenem,Compound,1,0
Compound::DB00304,Desogestrel,Compound,13,2
Compound::DB00305,Mitomycin,Compound,504,0
Compound::DB00306,Talbutal,Compound,25,8
Compound::DB00307,Bexarotene,Compound,7,0
Compound::DB00308,Ibutilide,Compound,10,2
Compound::DB00309,Vindesine,Compound,52,2
Compound::DB00310,Chlorthalidone,Compound,22,2
Compound::DB00312,Pentobarbital,Compound,46,0
Compound::DB00313,Valproic Acid,Compound,34,1
Compound::DB00314,Capreomycin,Compound,1,0
Compound::DB00315,Zolmitriptan,Compound,17,1
Compound::DB00316,Acetaminophen,Compound,36,2
Compound::DB00317,Gefitinib,Compound,162,3
Compound::DB00318,Codeine,Compound,17,4
Compound::DB00319,Piperacillin,Compound,29,10
Compound::DB00320,Dihydroergotamine,Compound,17,0
Compound::DB00321,Amitriptyline,Compound,95,4
Compound::DB00322,Floxuridine,Compound,81,1
Compound::DB00323,Tolcapone,Compound,7,1
Compound::DB00324,Fluorometholone,Compound,51,26
Compound::DB00325,Nitroprusside,Compound,7,0
Compound::DB00326,Calcium Gluceptate,Compound,2,0
Compound::DB00327,Hydromorphone,Compound,18,4
Compound::DB00328,Indomethacin,Compound,42,5
Compound::DB00330,Ethambutol,Compound,2,0
Compound::DB00331,Metformin,Compound,89,0
Compound::DB00332,Ipratropium bromide,Compound,55,8
Compound::DB00333,Methadone,Compound,54,5
Compound::DB00334,Olanzapine,Compound,58,2
Compound::DB00335,Atenolol,Compound,11,8
Compound::DB00336,Nitrofural,Compound,29,0
Compound::DB00337,Pimecrolimus,Compound,7,1
Compound::DB00338,Omeprazole,Compound,26,1
Compound::DB00339,Pyrazinamide,Compound,6,0
Compound::DB00340,Metixene,Compound,16,15
Compound::DB00341,Cetirizine,Compound,10,19
Compound::DB00343,Diltiazem,Compound,18,13
Compound::DB00344,Protriptyline,Compound,34,11
Compound::DB00345,Aminohippurate,Compound,27,10
Compound::DB00346,Alfuzosin,Compound,12,1
Compound::DB00347,Trimethadione,Compound,12,1
Compound::DB00348,Nitisinone,Compound,2,1
Compound::DB00349,Clobazam,Compound,15,26
Compound::DB00350,Minoxidil,Compound,7,0
Compound::DB00351,Megestrol acetate,Compound,10,13
Compound::DB00352,Tioguanine,Compound,6,1
Compound::DB00353,Methylergometrine,Compound,60,1
Compound::DB00354,Buclizine,Compound,13,5
Compound::DB00355,Aztreonam,Compound,5,1
Compound::DB00356,Chlorzoxazone,Compound,7,0
Compound::DB00357,Aminoglutethimide,Compound,9,0
Compound::DB00358,Mefloquine,Compound,23,0
Compound::DB00359,Sulfadiazine,Compound,20,4
Compound::DB00360,Tetrahydrobiopterin,Compound,13,0
Compound::DB00361,Vinorelbine,Compound,227,4
Compound::DB00362,Anidulafungin,Compound,0,2
Compound::DB00363,Clozapine,Compound,55,22
Compound::DB00364,Sucralfate,Compound,7,0
Compound::DB00366,Doxylamine,Compound,14,23
Compound::DB00367,Levonorgestrel,Compound,356,8
Compound::DB00368,Norepinephrine,Compound,23,10
Compound::DB00369,Cidofovir,Compound,2,1
Compound::DB00370,Mirtazapine,Compound,33,2
Compound::DB00371,Meprobamate,Compound,11,1
Compound::DB00373,Timolol,Compound,19,0
Compound::DB00374,Treprostinil,Compound,475,0
Compound::DB00375,Colestipol,Compound,1,0
Compound::DB00376,Trihexyphenidyl,Compound,14,1
Compound::DB00377,Palonosetron,Compound,5,0
Compound::DB00378,Dydrogesterone,Compound,13,5
Compound::DB00379,Mexiletine,Compound,14,0
Compound::DB00380,Dexrazoxane,Compound,5,0
Compound::DB00381,Amlodipine,Compound,120,4
Compound::DB00383,Oxyphencyclimine,Compound,6,5
Compound::DB00384,Triamterene,Compound,12,0
Compound::DB00385,Valrubicin,Compound,3,3
Compound::DB00387,Procyclidine,Compound,14,8
Compound::DB00388,Phenylephrine,Compound,9,5
Compound::DB00389,Carbimazole,Compound,18,0
Compound::DB00390,Digoxin,Compound,527,1
Compound::DB00391,Sulpiride,Compound,20,0
Compound::DB00392,Ethopropazine,Compound,60,4
Compound::DB00393,Nimodipine,Compound,23,0
Compound::DB00394,Beclomethasone,Compound,56,1
Compound::DB00395,Carisoprodol,Compound,2,0
Compound::DB00396,Progesterone,Compound,73,2
Compound::DB00397,Phenylpropanolamine,Compound,40,0
Compound::DB00398,Sorafenib,Compound,364,0
Compound::DB00399,Zoledronate,Compound,10,4
Compound::DB00400,Griseofulvin,Compound,4,0
Compound::DB00401,Nisoldipine,Compound,38,2
Compound::DB00402,Eszopiclone,Compound,23,1
Compound::DB00403,Ceruletide,Compound,7,0
Compound::DB00404,Alprazolam,Compound,59,8
Compound::DB00405,Dexbrompheniramine,Compound,7,16
Compound::DB00406,Gentian Violet,Compound,1,0
Compound::DB00407,Ardeparin,Compound,3,0
Compound::DB00408,Loxapine,Compound,60,9
Compound::DB00409,Remoxipride,Compound,44,2
Compound::DB00410,Mupirocin,Compound,1,0
Compound::DB00411,Carbachol,Compound,18,2
Compound::DB00412,Rosiglitazone,Compound,67,4
Compound::DB00413,Pramipexole,Compound,18,0
Compound::DB00415,Ampicillin,Compound,23,24
Compound::DB00417,Penicillin V,Compound,51,18
Compound::DB00418,Secobarbital,Compound,17,10
Compound::DB00419,Miglustat,Compound,2,1
Compound::DB00420,Promazine,Compound,80,17
Compound::DB00421,Spironolactone,Compound,31,6
Compound::DB00422,Methylphenidate,Compound,9,4
Compound::DB00423,Methocarbamol,Compound,11,2
Compound::DB00424,Hyoscyamine,Compound,10,12
Compound::DB00425,Zolpidem,Compound,17,0
Compound::DB00426,Famciclovir,Compound,29,0
Compound::DB00427,Triprolidine,Compound,13,1
Compound::DB00428,Streptozocin,Compound,10,0
Compound::DB00429,Carboprost Tromethamine,Compound,6,1
Compound::DB00430,Cefpiramide,Compound,1,17
Compound::DB00431,Lindane,Compound,5,0
Compound::DB00432,Trifluridine,Compound,30,6
Compound::DB00433,Prochlorperazine,Compound,17,43
Compound::DB00434,Cyproheptadine,Compound,109,14
Compound::DB00435,Nitric Oxide,Compound,7,0
Compound::DB00436,Bendroflumethiazide,Compound,11,5
Compound::DB00437,Allopurinol,Compound,5,0
Compound::DB00438,Ceftazidime,Compound,6,19
Compound::DB00440,Trimethoprim,Compound,8,1
Compound::DB00441,Gemcitabine,Compound,525,1
Compound::DB00442,Entecavir,Compound,7,1
Compound::DB00443,Betamethasone,Compound,408,11
Compound::DB00444,Teniposide,Compound,514,0
Compound::DB00445,Epirubicin,Compound,525,1
Compound::DB00446,Chloramphenicol,Compound,40,0
Compound::DB00448,Lansoprazole,Compound,26,5
Compound::DB00449,Dipivefrin,Compound,17,0
Compound::DB00450,Droperidol,Compound,7,3
Compound::DB00451,Levothyroxine,Compound,36,3
Compound::DB00452,Framycetin,Compound,5,3
Compound::DB00453,Clomocycline,Compound,5,4
Compound::DB00454,Pethidine,Compound,16,11
Compound::DB00455,Loratadine,Compound,16,3
Compound::DB00456,Cefalotin,Compound,44,26
Compound::DB00457,Prazosin,Compound,21,3
Compound::DB00458,Imipramine,Compound,43,36
Compound::DB00459,Acitretin,Compound,16,4
Compound::DB00460,Verteporfin,Compound,0,0
Compound::DB00461,Nabumetone,Compound,13,2
Compound::DB00462,Methylscopolamine bromide,Compound,6,5
Compound::DB00464,Sodium Tetradecyl Sulfate,Compound,7,0
Compound::DB00465,Ketorolac,Compound,22,4
Compound::DB00467,Enoxacin,Compound,17,7
Compound::DB00468,Quinine,Compound,30,0
Compound::DB00469,Tenoxicam,Compound,6,1
Compound::DB00470,Dronabinol,Compound,11,0
Compound::DB00471,Montelukast,Compound,13,0
Compound::DB00472,Fluoxetine,Compound,40,8
Compound::DB00473,Hexylcaine,Compound,10,8
Compound::DB00474,Methohexital,Compound,10,1
Compound::DB00475,Chlordiazepoxide,Compound,28,4
Compound::DB00476,Duloxetine,Compound,16,9
Compound::DB00477,Chlorpromazine,Compound,142,16
Compound::DB00478,Rimantadine,Compound,0,1
Compound::DB00479,Amikacin,Compound,0,9
Compound::DB00480,Lenalidomide,Compound,14,1
Compound::DB00481,Raloxifene,Compound,510,0
Compound::DB00482,Celecoxib,Compound,34,1
Compound::DB00483,Gallamine Triethiodide,Compound,3,0
Compound::DB00484,Brimonidine,Compound,9,1
Compound::DB00485,Dicloxacillin,Compound,30,4
Compound::DB00486,Nabilone,Compound,2,1
Compound::DB00487,Pefloxacin,Compound,12,2
Compound::DB00488,Altretamine,Compound,3,0
Compound::DB00489,Sotalol,Compound,11,0
Compound::DB00490,Buspirone,Compound,16,0
Compound::DB00491,Miglitol,Compound,7,0
Compound::DB00492,Fosinopril,Compound,7,5
Compound::DB00493,Cefotaxime,Compound,12,23
Compound::DB00494,Entacapone,Compound,12,1
Compound::DB00495,Zidovudine,Compound,34,2
Compound::DB00496,Darifenacin,Compound,20,13
Compound::DB00497,Oxycodone,Compound,11,8
Compound::DB00498,Phenindione,Compound,7,22
Compound::DB00499,Flutamide,Compound,28,0
Compound::DB00500,Tolmetin,Compound,18,4
Compound::DB00501,Cimetidine,Compound,30,0
Compound::DB00502,Haloperidol,Compound,35,6
Compound::DB00503,Ritonavir,Compound,24,1
Compound::DB00504,Levallorphan,Compound,2,5
Compound::DB00507,Nitazoxanide,Compound,47,3
Compound::DB00508,Triflupromazine,Compound,74,23
Compound::DB00509,Dextrothyroxine,Compound,30,1
Compound::DB00511,Acetyldigitoxin,Compound,12,0
Compound::DB00512,Vancomycin,Compound,3,0
Compound::DB00513,Aminocaproic Acid,Compound,22,0
Compound::DB00514,Dextromethorphan,Compound,45,0
Compound::DB00515,Cisplatin,Compound,33,0
Compound::DB00516,Bentoquatam,Compound,0,0
Compound::DB00517,Anisotropine Methylbromide,Compound,6,0
Compound::DB00518,Albendazole,Compound,147,0
Compound::DB00519,Trandolapril,Compound,19,0
Compound::DB00520,Caspofungin,Compound,7,2
Compound::DB00521,Carteolol,Compound,9,5
Compound::DB00523,Alitretinoin,Compound,200,1
Compound::DB00524,Metolazone,Compound,11,4
Compound::DB00525,Tolnaftate,Compound,7,3
Compound::DB00526,Oxaliplatin,Compound,21,0
Compound::DB00527,Cinchocaine,Compound,22,4
Compound::DB00528,Lercanidipine,Compound,12,3
Compound::DB00529,Foscarnet,Compound,2,0
Compound::DB00530,Erlotinib,Compound,179,1
Compound::DB00531,Cyclophosphamide,Compound,25,0
Compound::DB00534,Chlormerodrin,Compound,2,0
Compound::DB00535,Cefdinir,Compound,25,2
Compound::DB00536,Guanidine,Compound,50,0
Compound::DB00537,Ciprofloxacin,Compound,20,3
Compound::DB00538,Gadoversetamide,Compound,3,0
Compound::DB00539,Toremifene,Compound,140,0
Compound::DB00540,Nortriptyline,Compound,96,9
Compound::DB00541,Vincristine,Compound,307,3
Compound::DB00542,Benazepril,Compound,6,17
Compound::DB00543,Amoxapine,Compound,39,10
Compound::DB00544,Fluorouracil,Compound,39,1
Compound::DB00545,Pyridostigmine,Compound,6,2
Compound::DB00546,Adinazolam,Compound,33,12
Compound::DB00547,Desoximetasone,Compound,84,16
Compound::DB00548,Azelaic Acid,Compound,4,6
Compound::DB00549,Zafirlukast,Compound,15,0
Compound::DB00550,Propylthiouracil,Compound,24,0
Compound::DB00551,Acetohydroxamic Acid,Compound,1,3
Compound::DB00552,Pentostatin,Compound,5,6
Compound::DB00553,Methoxsalen,Compound,54,0
Compound::DB00554,Piroxicam,Compound,11,5
Compound::DB00555,Lamotrigine,Compound,20,2
Compound::DB00556,Perflutren,Compound,0,1
Compound::DB00557,Hydroxyzine,Compound,3,21
Compound::DB00558,Zanamivir,Compound,1,0
Compound::DB00559,Bosentan,Compound,6,0
Compound::DB00560,Tigecycline,Compound,3,5
Compound::DB00561,Doxapram,Compound,21,11
Compound::DB00562,Benzthiazide,Compound,10,5
Compound::DB00563,Methotrexate,Compound,198,2
Compound::DB00564,Carbamazepine,Compound,36,13
Compound::DB00565,Cisatracurium Besylate,Compound,9,1
Compound::DB00566,Succimer,Compound,4,0
Compound::DB00567,Cephalexin,Compound,32,18
Compound::DB00568,Cinnarizine,Compound,33,12
Compound::DB00569,Fondaparinux sodium,Compound,2,1
Compound::DB00570,Vinblastine,Compound,534,0
Compound::DB00571,Propranolol,Compound,50,0
Compound::DB00572,Atropine,Compound,23,0
Compound::DB00573,Fenoprofen,Compound,33,0
Compound::DB00575,Clonidine,Compound,43,0
Compound::DB00576,Sulfamethizole,Compound,39,0
Compound::DB00577,Valaciclovir,Compound,15,0
Compound::DB00578,Carbenicillin,Compound,26,0
Compound::DB00579,Mazindol,Compound,19,0
Compound::DB00581,Lactulose,Compound,3,3
Compound::DB00582,Voriconazole,Compound,11,1
Compound::DB00583,L-Carnitine,Compound,17,1
Compound::DB00584,Enalapril,Compound,54,4
Compound::DB00585,Nizatidine,Compound,112,0
Compound::DB00586,Diclofenac,Compound,43,3
Compound::DB00587,Cinalukast,Compound,4,0
Compound::DB00588,Fluticasone Propionate,Compound,112,9
Compound::DB00589,Lisuride,Compound,24,2
Compound::DB00590,Doxazosin,Compound,14,3
Compound::DB00591,Fluocinolone Acetonide,Compound,73,23
Compound::DB00592,Piperazine,Compound,2,0
Compound::DB00593,Ethosuximide,Compound,10,1
Compound::DB00594,Amiloride,Compound,13,0
Compound::DB00595,Oxytetracycline,Compound,4,9
Compound::DB00596,Halobetasol Propionate,Compound,5,22
Compound::DB00597,Gadoteridol,Compound,0,1
Compound::DB00598,Labetalol,Compound,6,22
Compound::DB00599,Thiopental,Compound,16,8
Compound::DB00600,Monobenzone,Compound,12,17
Compound::DB00601,Linezolid,Compound,11,1
Compound::DB00602,Ivermectin,Compound,255,0
Compound::DB00603,Medroxyprogesterone Acetate,Compound,33,19
Compound::DB00604,Cisapride,Compound,26,4
Compound::DB00605,Sulindac,Compound,11,0
Compound::DB00606,Cyclothiazide,Compound,6,9
Compound::DB00607,Nafcillin,Compound,9,17
Compound::DB00608,Chloroquine,Compound,11,6
Compound::DB00609,Ethionamide,Compound,10,0
Compound::DB00610,Metaraminol,Compound,7,5
Compound::DB00611,Butorphanol,Compound,8,3
Compound::DB00612,Bisoprolol,Compound,11,5
Compound::DB00613,Amodiaquine,Compound,118,1
Compound::DB00614,Furazolidone,Compound,4,1
Compound::DB00615,Rifabutin,Compound,10,1
Compound::DB00616,Candoxatril,Compound,2,0
Compound::DB00617,Paramethadione,Compound,8,0
Compound::DB00618,Demeclocycline,Compound,6,3
Compound::DB00619,Imatinib,Compound,54,2
Compound::DB00620,Triamcinolone,Compound,83,30
Compound::DB00621,Oxandrolone,Compound,14,13
Compound::DB00622,Nicardipine,Compound,38,8
Compound::DB00623,Fluphenazine,Compound,51,26
Compound::DB00624,Testosterone,Compound,92,30
Compound::DB00625,Efavirenz,Compound,14,0
Compound::DB00626,Bacitracin,Compound,14,9
Compound::DB00627,Niacin,Compound,17,2
Compound::DB00628,Clorazepate,Compound,9,26
Compound::DB00629,Guanabenz,Compound,14,0
Compound::DB00630,Alendronate,Compound,33,3
Compound::DB00631,Clofarabine,Compound,170,5
Compound::DB00632,Docosanol,Compound,2,2
Compound::DB00633,Dexmedetomidine,Compound,18,0
Compound::DB00634,Sulfacetamide,Compound,21,13
Compound::DB00635,Prednisone,Compound,53,9
Compound::DB00636,Clofibrate,Compound,12,2
Compound::DB00637,Astemizole,Compound,32,3
Compound::DB00638,Inulin,Compound,0,0
Compound::DB00639,Butoconazole,Compound,8,2
Compound::DB00640,Adenosine,Compound,20,11
Compound::DB00641,Simvastatin,Compound,429,2
Compound::DB00642,Pemetrexed,Compound,10,4
Compound::DB00643,Mebendazole,Compound,507,6
Compound::DB00644,Gonadorelin,Compound,3,7
Compound::DB00645,Dyclonine,Compound,3,7
Compound::DB00646,Nystatin,Compound,0,2
Compound::DB00647,Dextropropoxyphene,Compound,25,29
Compound::DB00648,Mitotane,Compound,17,8
Compound::DB00649,Stavudine,Compound,21,3
Compound::DB00650,Leucovorin,Compound,5,5
Compound::DB00651,Dyphylline,Compound,14,2
Compound::DB00652,Pentazocine,Compound,8,1
Compound::DB00653,Magnesium Sulfate,Compound,6,0
Compound::DB00654,Latanoprost,Compound,10,2
Compound::DB00655,Estrone,Compound,36,5
Compound::DB00656,Trazodone,Compound,23,13
Compound::DB00657,Mecamylamine,Compound,20,0
Compound::DB00658,Sevelamer,Compound,0,0
Compound::DB00659,Acamprosate,Compound,13,0
Compound::DB00660,Metaxalone,Compound,14,0
Compound::DB00661,Verapamil,Compound,51,3
Compound::DB00662,Trimethobenzamide,Compound,2,6
Compound::DB00663,Flumethasone Pivalate,Compound,8,18
Compound::DB00664,Sulfametopyrazine,Compound,1,17
Compound::DB00665,Nilutamide,Compound,6,3
Compound::DB00666,Nafarelin,Compound,1,8
Compound::DB00667,Histamine Phosphate,Compound,14,2
Compound::DB00668,Epinephrine,Compound,32,17
Compound::DB00669,Sumatriptan,Compound,26,4
Compound::DB00670,Pirenzepine,Compound,18,0
Compound::DB00671,Cefixime,Compound,80,1
Compound::DB00672,Chlorpropamide,Compound,17,3
Compound::DB00673,Aprepitant,Compound,12,0
Compound::DB00674,Galantamine,Compound,31,2
Compound::DB00675,Tamoxifen,Compound,195,11
Compound::DB00676,Benzyl Benzoate,Compound,33,22
Compound::DB00677,Isoflurophate,Compound,3,0
Compound::DB00678,Losartan,Compound,35,4
Compound::DB00679,Thioridazine,Compound,539,14
Compound::DB00680,Moricizine,Compound,30,0
Compound::DB00681,Amphotericin B,Compound,2,0
Compound::DB00682,Warfarin,Compound,27,1
Compound::DB00683,Midazolam,Compound,57,2
Compound::DB00684,Tobramycin,Compound,8,0
Compound::DB00685,Trovafloxacin,Compound,6,0
Compound::DB00686,Pentosan Polysulfate,Compound,3,0
Compound::DB00687,Fludrocortisone,Compound,35,0
Compound::DB00688,Mycophenolate mofetil,Compound,159,0
Compound::DB00689,Cephaloglycin,Compound,34,1
Compound::DB00690,Flurazepam,Compound,35,16
Compound::DB00691,Moexipril,Compound,12,4
Compound::DB00692,Phentolamine,Compound,16,1
Compound::DB00693,Fluorescein,Compound,4,0
Compound::DB00694,Daunorubicin,Compound,522,2
Compound::DB00695,Furosemide,Compound,25,0
Compound::DB00696,Ergotamine,Compound,21,5
Compound::DB00697,Tizanidine,Compound,19,3
Compound::DB00698,Nitrofurantoin,Compound,2,3
Compound::DB00699,Nicergoline,Compound,9,0
Compound::DB00700,Eplerenone,Compound,18,7
Compound::DB00701,Amprenavir,Compound,11,1
Compound::DB00703,Methazolamide,Compound,22,1
Compound::DB00704,Naltrexone,Compound,31,3
Compound::DB00705,Delavirdine,Compound,10,0
